State,Incumbent,Winner,Partisan_change,Incumbent _status
Arizona,Republican Party Jeff Flake,Democratic Party Kyrsten Sinema,Yes,Incumbent didn't seek re-election
California,Democratic Party Dianne Feinstein,Democratic Party Dianne Feinstein,No,Won
Florida,Democratic Party Bill Nelson,Republican Party Rick Scott,Yes,Lost
Indiana,Democratic Party Joe Donnelly,Republican Party Mike Braun,Yes,Lost
Minnesota (special),Democratic Party Tina Smith,Democratic Party Tina Smith,No,Won
Missouri,Democratic Party Claire McCaskill,Republican Party Josh Hawley,Yes,Lost
Mississippi (special),Republican Party Cindy Hyde-Smith,Republican Party Cindy Hyde-Smith,No,Won
Montana,Democratic Party Jon Tester,Democratic Party Jon Tester,No,Won
North Dakota,Democratic Party Heidi Heitkamp,Republican Party Kevin Cramer,Yes,Lost
New Jersey,Democratic Party Bob Menendez,Democratic Party Bob Menendez,No,Won
New Mexico,Democratic Party Martin Heinrich,Democratic Party Martin Heinrich,No,Won
Nevada,Republican Party Dean Heller,Democratic Party Jacky Rosen,Yes,Lost
Ohio,Democratic Party Sherrod Brown,Democratic Party Sherrod Brown,No,Won
Tennessee,Republican Party Bob Corker,Republican Party Marsha Blackburn,No,Incumbent didn't seek re-election
Texas,Republican Party Ted Cruz,Republican Party Ted Cruz,No,Won
West Virginia,Democratic Party Joe Manchin,Democratic Party Joe Manchin,No,Won
